route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
86,312753486348,211995,821,1,17,Fort Worth
86,312753486348,212158,822,0,18,Oklahoma City
87,112760676348,220255,21,0,272,San Antonio
87,212753486004,220252,21,0,272,San Antonio
87,112760056065,220253,21,0,272,San Antonio
87,100160666066,220254,21,0,272,San Antonio
87,108260676348,220410,421,0,193,Los Angeles
87,208253486004,220407,421,0,193,Los Angeles
87,108260066062,220408,421,0,193,Los Angeles
87,100260656065,220409,421,0,193,Los Angeles
87,112760676348,220422,22,1,274,Chicago
87,212753486004,220419,22,1,274,Chicago
87,112760056065,220420,22,1,274,Chicago
87,100160666066,220421,22,1,274,Chicago
87,107460676348,220618,422,1,195,Chicago
87,207453486002,220615,422,1,195,Chicago
87,106460046004,220616,422,1,195,Chicago
87,107460076065,220617,422,1,195,Chicago
