service_id,date,exception_type
2008-1-0300122025-LAD6#FRS6,20251217,2
2008-1-0300122025-LAD6#FRS6,20251218,2
2008-1-0300122025-LAD6#FRS6,20251226,2
2008-2-2000122025-FRS6#LAD6,20251216,2
2008-2-2000122025-FRS6#LAD6,20251217,2
2008-2-2000122025-FRS6#LAD6,20251225,2
2017-80-1420122025-UCL#POE6,20251216,2
2017-80-1420122025-UCL#POE6,20251217,2
2017-81-1925122025-POE6#LAD6,20251216,2
2017-81-1925122025-POE6#LAD6,20251217,2
2017-81-2130012026-POE6#LAD6,20260105,2
2017-81-2130012026-POE6#LAD6,20260110,2
2017-81-2130122025-POE6#LAD6,20251219,2
2017-81-2130122025-POE6#LAD6,20251222,2
2030-13-1730122025-USC#UHN,20251216,2
2030-13-1730122025-USC#UHN,20251217,2
2030-22-0025012026-UHN#ULA,20260108,2
2030-22-0025012026-UHN#ULA,20260115,2
2030-22-0025012026-UHN#ULA,20260122,2
2030-22-0025012026-UHN#ULA,20260129,2
2030-22-0025122025-UHN#ULA,20251217,2
2030-22-0025122025-UHN#ULA,20251218,2
2030-26-2200122025-0NV#0NH,20251216,2
2030-26-2200122025-0NV#0NH,20251225,2
2030-52-0345122025-0NV#USC,20251217,2
2030-5-2040122025-USC#0NV,20251216,2
2030-7-1445122025-0NH#0NV,20251216,2
2030-7-1445122025-0NH#0NV,20251225,2
2047-13-1745052026-UOA#UFG,20260518,2
2047-13-1745052026-UOA#UFG,20260525,2
2047-14-0005052026-UFG#UOA,20260519,2
2047-14-0005052026-UFG#UOA,20260526,2
2110-13-2235052026-1UO#1UW,20260507,2
2110-13-2235052026-1UO#1UW,20260514,2
2110-2-1400052026-1UW#1UO,20260507,2
2110-2-1400052026-1UW#1UO,20260514,2
2114-22-1800052026-VAN6#SEA6,20260505,2
2114-22-1800052026-VAN6#SEA6,20260506,2
2114-22-1800052026-VAN6#SEA6,20260507,2
2114-22-1800052026-VAN6#SEA6,20260512,2
2114-22-1800052026-VAN6#SEA6,20260513,2
2114-22-1800052026-VAN6#SEA6,20260514,2
2114-22-1900012026-VAN6#SEA6,20260115,2
2114-22-1900012026-VAN6#SEA6,20260122,2
2114-22-1900012026-VAN6#SEA6,20260129,2
2114-22-1900122025-VAN6#SEA6,20251216,2
2114-22-1900122025-VAN6#SEA6,20251217,2
2114-23-0000052026-SEA6#VAN6,20260506,2
2114-23-0000052026-SEA6#VAN6,20260507,2
2114-23-0000052026-SEA6#VAN6,20260508,2
2114-23-0000052026-SEA6#VAN6,20260513,2
2114-23-0000052026-SEA6#VAN6,20260514,2
2114-23-0000052026-SEA6#VAN6,20260515,2
2114-23-0100012026-SEA6#VAN6,20260108,2
2114-23-0100012026-SEA6#VAN6,20260115,2
2114-23-0100012026-SEA6#VAN6,20260116,2
2114-23-0100012026-SEA6#VAN6,20260122,2
2114-23-0100012026-SEA6#VAN6,20260123,2
2114-23-0100012026-SEA6#VAN6,20260129,2
2114-23-0100012026-SEA6#VAN6,20260130,2
2114-23-0100122025-SEA6#VAN6,20251217,2
2114-23-0100122025-SEA6#VAN6,20251218,2
2115-11-2200042026-PUT6#VAN6,20260407,2
2115-11-2200042026-PUT6#VAN6,20260408,2
2115-11-2200042026-PUT6#VAN6,20260414,2
2115-11-2200042026-PUT6#VAN6,20260415,2
2115-11-2300122025-PUT6#VAN6,20251216,2
2115-11-2300122025-PUT6#VAN6,20251217,2
2115-14-2130042026-VAN6#PUT6,20260408,2
2115-14-2130042026-VAN6#PUT6,20260409,2
2115-14-2130042026-VAN6#PUT6,20260415,2
2115-14-2130042026-VAN6#PUT6,20260416,2
2115-14-2230012026-VAN6#PUT6,20260108,2
2115-14-2230012026-VAN6#PUT6,20260115,2
2115-14-2230012026-VAN6#PUT6,20260122,2
2115-14-2230012026-VAN6#PUT6,20260129,2
2115-14-2230122025-VAN6#PUT6,20251217,2
2115-14-2230122025-VAN6#PUT6,20251218,2
2211-5-1440022026-2HU#NOD6,20260202,2
2211-5-1440022026-2HU#NOD6,20260203,2
2211-5-1440022026-2HU#NOD6,20260204,2
2211-5-1440022026-2HU#NOD6,20260209,2
2211-5-1440022026-2HU#NOD6,20260210,2
2211-5-1440022026-2HU#NOD6,20260211,2
2211-6-2220022026-NOD6#2HU,20260202,2
2211-6-2220022026-NOD6#2HU,20260203,2
2211-6-2220022026-NOD6#2HU,20260204,2
2211-6-2220022026-NOD6#2HU,20260209,2
2211-6-2220022026-NOD6#2HU,20260210,2
2211-6-2220022026-NOD6#2HU,20260211,2
2211-7-1300012026-2HU#NOD6,20260108,2
2211-7-1300012026-2HU#NOD6,20260115,2
2211-7-1300012026-2HU#NOD6,20260122,2
2211-7-1300012026-2HU#NOD6,20260129,2
2211-7-1300022026-2HU#NOD6,20260204,2
2211-7-1300022026-2HU#NOD6,20260205,2
2211-7-1300022026-2HU#NOD6,20260211,2
2211-7-1300022026-2HU#NOD6,20260212,2
2211-8-2015012026-NOD6#2HU,20260108,2
2211-8-2015012026-NOD6#2HU,20260115,2
2211-8-2015012026-NOD6#2HU,20260122,2
2211-8-2015012026-NOD6#2HU,20260129,2
2211-8-2015022026-NOD6#2HU,20260204,2
2211-8-2015022026-NOD6#2HU,20260205,2
2211-8-2015022026-NOD6#2HU,20260211,2
2211-8-2015022026-NOD6#2HU,20260212,2
2270-9320-1955012026-2HO#2SC,20260108,2
2270-9320-1955012026-2HO#2SC,20260115,2
2270-9320-1955012026-2HO#2SC,20260122,2
2270-9320-1955012026-2HO#2SC,20260129,2
2270-9320-1955022026-2HO#2SC,20260205,2
2270-9320-1955022026-2HO#2SC,20260212,2
2270-9320-1955022026-2HO#2SC,20260219,2
2270-9321-1420012026-2SC#2HO,20260108,2
2270-9321-1420012026-2SC#2HO,20260115,2
2270-9321-1420012026-2SC#2HO,20260122,2
2270-9321-1420012026-2SC#2HO,20260129,2
2270-9321-1420022026-2SC#2HO,20260205,2
2270-9321-1420022026-2SC#2HO,20260212,2
2270-9321-1420022026-2SC#2HO,20260219,2
2410-1-1400022026-MID6#TAL6,20260204,2
